As,Cu,Fe,Li,Mn,Mo,Pb,U,SampleTreated
mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,
1.18108068,166.8975888,88.37918185,1.605426149,3.123951873,0.669197313,0.79162112,3.122003819,No
2.792514105,376.9193714,186.5364744,7.090760656,8.005202876,16.0229089,8.075278336,17.16730197,No
10.81322269,8.541030577,215.6301305,1.899558337,4.529350868,4.753626417,0.29075105,24.55910727,No
3.895100948,15.83247479,124.6044847,1.666461954,28.58056833,52.44656167,0.26571972,5.607802536,No
4.505964858,49.73552341,157.4858458,3.057878482,1.712410275,1.572691576,0.345459834,0.652512105,No
8.33661424,14.54573889,131.0788358,1.658141043,45.30492177,6.16682712,0.901910938,3.498518854,No
2.682711971,32.1005802,145.7274427,5.738189978,0.315152668,0.914197471,3.916431745,1.477292209,No
5.825943451,4.975063582,115.7452902,18.18221697,1.255933195,1.854210226,0.081935394,4.008927956,No
1.167986721,12.85779874,92.61031744,7.000798763,0.90901625,0.39270484,0.150324918,3.270574058,No
14.33780547,8.592925059,91.3208481,6.010388669,1.048236246,6.861924204,0.046429282,1.924514763,No
0.426978991,11.70261631,98.62966429,3.013731847,1.153199661,4.891445667,0.63060192,0.93787702,No
6.421969957,71.76453564,147.4353405,180.1158398,1.998128668,12.92965196,0.316106117,0.467386441,No
5.103840309,5.330992759,47.27078384,1.19715119,0.831641694,4.859005561,0.164042789,6.263830727,No
4.014044589,1.474241571,294.2835613,4.884170824,13.62797917,44.95282552,0.317261851,2.06245098,No
1.388905938,1.458611669,553.5647391,27.32067354,3.203937074,2.668897817,8.735913754,134.236652,No
0.291486006,652.3657742,77.7576824,79.53000993,4.771821456,0.196741142,1.871876708,9.190831155,No
0.749892456,14.23079383,113.8254305,9.838881998,1.978838032,0.270932202,0.210211952,5.501462124,No
10.97310326,13.01509443,96.24885099,2.371011097,0.788554118,10.65911949,0.216231941,2.719248004,No
8.809274706,10.60772536,850.1189812,1.29681242,75.86406442,1.685537612,0.240544405,0.173815335,No
9.310270667,467.7504051,261.177185,0.990411295,3.575827221,0.743690871,23.39917594,3.546665673,No
5.209363459,20.31993813,70.02242985,6.860553007,0.104299055,0.874361882,0.105423638,1.87261618,No
0.385243536,42.3689863,77.88495835,3.159271766,0.685147465,4.098590198,0.440888238,10.24531167,No
1.214970972,32.88204016,101.7368515,6.964388615,0.596818387,0.888494912,0.298095651,1.984132794,No
0.445345709,2.926260282,66.5664329,3.779149702,0.332689663,0.223832246,0.092711486,0.896104897,No
5.675675141,1.30332658,75.71855572,7.842975274,1.617293639,1.540809928,0.473057727,1.653910138,No
25.2937189,24.78435526,66.00968575,41.43754814,1.326828982,9.513245398,0.471758711,9.82524834,No
0.680069836,235.9365726,606.1259549,39.25281682,51.15878419,BDL,6.714889366,1.399727674,No
0.411964259,24.86451908,81.39474272,4.996867987,0.336517469,1.550588414,0.193468801,0.08496626,No
794.6488265,15.67463858,49.88109359,35.21870284,78.25269777,20.50576806,0.090186383,45.05129179,No
17.7315427,6.21661994,69.79917535,24.72215401,1.27908879,6.99895082,0.248152395,2.377144028,No
0.720047984,59.11514581,99.61783842,12.0197572,5.824028689,0.584420718,0.147318893,146.9532769,No
0.246043613,41.74624143,380.0735489,2.397773746,0.904447894,1.014935437,0.156490165,1.362243318,No
0.103554456,151.7152979,72.25606755,0.518580793,0.802732776,0.301735591,0.142374998,0.020940666,No
1.182830547,2.126546498,1054.80945,65.21231274,6.911184207,0.799695289,0.369821967,0.463118892,No
1.18440626,11.71654962,206.2036845,3.612150508,13.03804655,0.990571636,0.9562079,0.956556067,No
1.215201844,8.261095114,60.87491421,21.375174,0.651754795,0.205989255,0.050738169,8.225493518,No
13.08949682,129.5449788,472.5929892,50.03336052,534.6027291,7.631397071,0.038923255,0.345695839,No
13.27160095,82.40752174,530.099515,5.254285022,18.17263199,2.410691479,7.262300174,3.086096979,No
0.70068875,3.505250254,1048.950123,168.5198408,1.62813416,22.61477138,0.038452884,0.350353009,No
0.400765678,1.451641522,97.40594242,4.094827031,1.152691657,5.265823236,0.019034215,1.497109745,No
10.9488542,1.833892595,138.729656,152.9856484,0.877585876,8.860820743,0.030106464,8.920568909,No
7.479356972,1.056053716,761.5739462,43.23395627,615.8371957,5.73089623,0.006751241,15.83391593,No
1.381714576,3.171462146,119.183886,0.978430367,0.309347505,0.65872374,0.059201551,1.052163011,No
0.634500979,216.9965958,336.7403015,57.29990426,1.664978336,0.523842562,1.791248963,51.17081466,No
534.7661156,6.836074429,221.116907,29.11642348,34.26843631,21.22672075,1.686706414,12.14277144,No
1.712102445,25.00892877,113.958003,5.048808554,0.324617913,2.152401846,0.212654053,2.92937727,No
1.398877284,8.842398959,175.9544052,25.11378828,0.153884093,1.303833365,0.246462113,2.061463969,No
13.36228484,23.35136947,198.0794344,6.045924268,1.475916499,3.643792459,0.030940786,3.081385978,No
0.69596813,24.13507386,675.6408554,7.494148139,5.170735562,0.401355868,0.309389268,116.6966453,No
0.188076023,4.838422902,133.5854613,1.517448258,1.139235246,1.950661549,0.066260522,6.90542355,No
3.549069757,1.03146315,262.1775576,14.07996175,359.7094407,10.65940183,0.038456108,0.041376336,No
4.001019348,19.05866392,208.8178079,1.471839225,7.408868807,0.620107551,1.273648262,0.974540456,No
2.909261671,95.82135226,181.2352857,3.839483264,0.29296036,8.240692776,0.036340929,17.44544461,No
4.038651704,4.272902085,110.9893335,7.876917634,0.461543319,1.065953009,0.045443399,3.945853866,No
0.182901567,26.13679804,176.4867074,41.9230593,1.775932401,0.239863402,0.845762743,7.13562234,No
50.059223,5.300782826,343.775744,40.3055769,9.546182152,28.21019892,BDL,0.001038285,No
0.483311266,51.5682386,351.0721069,4.21985981,7.943189578,0.431038728,1.45541947,1.632982013,No
0.817432141,9.241644034,408.1508377,129.2914403,1.111415553,3.841066284,0.629843252,30.12639739,No
10.72461038,4.954583978,199.9018409,2.579015376,0.707372839,1.704067907,0.762233654,40.36701939,No
0.853781921,1.578808928,376.3113033,9.15517501,1.529226697,5.973558244,0.094701132,4.88416275,No
5.574155507,3.642053821,102.2698861,9.663952195,1.790338933,2.835436483,0.138575491,2.900557056,No
2.147933935,1201.88981,99.32849769,41.88390701,2.951239985,21.07403554,6.686097498,0.006113107,No
0.109440589,22.53391079,579.6258218,1.848668522,154.0060244,0.961098282,0.637186354,0.009383267,No
116.1361281,10.54049458,295.742412,3.88239007,12.19514208,9.275907342,1.105173944,0.597027855,No
0.246412605,1.642781706,1155.609397,3.591777728,10.91357704,0.338818353,BDL,0.469330434,No
8.076219431,10.87415467,90.24396708,11.61245074,1.773393864,3.718087265,0.056218347,18.85521321,No
1.992861227,23.98260645,116.1305368,0.911812019,0.659207568,0.425268477,0.479381032,28.31881775,No
1.432353261,3.282790041,333.6069337,4.070091979,26.92995383,22.68188532,0.079037158,8.238531111,No
2.072859833,41.27947064,86.43540174,0.230439735,0.599117148,2.920293776,1.533802856,1.668415194,No
14.35938212,1.711292061,219.1621613,1.613279288,31.00275766,2.414339313,0.026785267,0.124184792,No
39.29316858,44.1630094,108.5288289,14.16993021,0.380908109,11.42484756,2.254409769,8.85732707,No
0.479375514,101.3012179,205.1940643,2.423819488,3.699278431,0.273484346,0.616460953,5.269757005,No
2.333233822,0.653546691,84.43938384,1.190861551,1.346322581,0.327695728,BDL,0.325222466,No
1.158151513,79.94794934,81.63840369,2.97728455,0.985457943,10.02488843,0.512683845,5.344581793,No
209.8125669,4.583857091,651.1281599,19.18796428,13.7282794,29.65862368,0.027592048,7.820805881,No
47.11489974,34.63742218,97.45443109,4.419739383,41.2196995,4.76914853,2.383537821,0.522793631,No
1.641160735,4.021056572,175.9240489,9.471638398,3.131504532,1.81585472,0.25474279,1.622308667,No
0.543811588,30.29098323,254.5548117,6.032854597,5.50268692,0.087474524,3.229801574,20.80185648,No
5.81921072,11.23564781,240.987828,18.7648958,2.426175018,5.663507167,0.347565878,0.690244471,No
